,PPP项目数,公司名称,分支机构,周边风险,对外投资,总经理,注册时间,注册资本,股东1,股东2,股东3,股东4,股东5,股东6,股东7,股东8,股东9,股东10,股东11,股东12,股东13,股东14,股东15,股东16,股东17,股东18,股东19,股东20,股东21,股东22,股东23,股东24,股东25,股东26,股东27,股东28,股东29,股东30,股东31,股东32,股东33,股东34,股东35,股东36,股东37,股东38,股东39,股东40,股东41,股东42,股东43,股东44,股东45,股东46,股东47,股东48,股东49,股东10持股比例,股东11持股比例,股东12持股比例,股东13持股比例,股东14持股比例,股东15持股比例,股东16持股比例,股东17持股比例,股东18持股比例,股东19持股比例,股东1持股比例,股东20持股比例,股东21持股比例,股东22持股比例,股东23持股比例,股东24持股比例,股东25持股比例,股东26持股比例,股东27持股比例,股东28持股比例,股东29持股比例,股东2持股比例,股东30持股比例,股东31持股比例,股东32持股比例,股东33持股比例,股东34持股比例,股东35持股比例,股东36持股比例,股东37持股比例,股东38持股比例,股东39持股比例,股东3持股比例,股东40持股比例,股东41持股比例,股东42持股比例,股东43持股比例,股东44持股比例,股东45持股比例,股东46持股比例,股东47持股比例,股东48持股比例,股东49持股比例,股东4持股比例,股东5持股比例,股东6持股比例,股东7持股比例,股东8持股比例,股东9持股比例,自身风险,董事长,专利,招投标项目总数
0,0.0,常州市武进区环境卫生管理处,,3,1,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5
1,0.0,永兴银都投资建设发展（集团）有限公司,,22,18,,2004-05-21,88039.190000万人民币,永兴县国有资产管理局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,刘训才,,
2,7.0,安徽国祯环保节能科技股份有限公司,12,20,76,韩洪彬,1997-02-25,30566.8467万人民币元,安徽国祯集团股份有限公司,合肥高新技术产业开发区科技实业发展公司,淮北万里电力实业总公司,安徽省环境保护产业服务中心,安徽省环境保护科学研究所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.81%,,,,,,,,,,,7.96%,,,,,,,,,,,4.24%,,,,,,,,,,,1.00%,1.00%,,,,,23,王颖哲,118,66
3,0.0,安徽省投资集团控股有限公司,7,228,73,张春雷,1998-07-31,3000000.000000万人民币,安徽省人民政府国有资产监督管理委员会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,陈翔,,1
4,0.0,安徽迅捷物流肥东有限责任公司,,1,,方媛媛,2013-01-16,3000万人民币,安徽迅捷物流有限责任公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,余立新,,
5,0.0,安平县凯悦污水处理有限公司,,0,,,2007-06-27,10.000000万人民币,安平县自来水管理站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3
6,0.0,霸州茗汤温泉水疗养生度假村有限公司,1,7,3,肖尧,1994-05-16,661.570000万美元,北京碧桂园凤凰置业发展有限公司,荣豪投资有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.00%,,,,,,,,,,,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,徐庆春,,
7,0.0,霸州市万景房地产开发有限公司,,0,,白杨,2009-05-18,500.000000万人民币,马和利,白杨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.00%,,,,,,,,,,,30.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,
8,0.0,百荣投资控股集团有限公司,,106,13,蒋柏荣,2001-08-01,30000 万人民币,蒋柏荣,魏薇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.00%,,,,,,,,,,,30.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,蒋柏荣,,
9,0.0,保定市排水总公司,1,0,4,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,7
10,1.0,北京博大水务有限公司,,12,2,胡杰,2008-05-09,53499.46 万人民币,北京亦庄投资控股有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,蒋玉明,6,1
11,3.0,北京城市排水集团有限责任公司,27,9,29,杨向平,2001-12-26,1049410.830000万人民币,北京市政府,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,林雪梅,302,9
12,0.0,北京地铁总公司,,0,1,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
13,0.0,北京东方吉祥哈达文化发展有限公司,,0,,,2016-05-23,3000.000000万人民币,杨波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
14,0.0,北京方庄黎昌海鲜大酒楼有限责任公司,,0,5,,2000-04-03,200 万人民币,黎炳昌,曹检如,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.00%,,,,,,,,,,,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
15,0.0,北京汇丰广润投资有限公司,,0,,,2014-12-17,1000.000000万人民币,邢建华,甄建国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.00%,,,,,,,,,,,49.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
16,0.0,北京建工环境发展有限责任公司,1,6,15,,2007-06-07,69000.000000万人民币,北京中科成环保集团有限公司,北京建工集团控股有限责任公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.00%,,,,,,,,,,,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,李力,3,1
17,0.0,北京金泰房地产开发有限责任公司,2,471,24,马强,2001-08-16,156000.000000万人民币,北京京煤集团有限责任公司,北京金泰集团有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.57%,,,,,,,,,,,33.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,蔡洪福,,1
18,0.0,北京金州环保发展有限公司,,12,21,卢丽娜,2005-03-08,20000.000000万人民币,金州环境股份有限公司,中国金州（集团）有限公司,北京金州阳光咨询有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.00%,,,,,,,,,,,35.00%,,,,,,,,,,,30.00%,,,,,,,,,,,,,,,,,0,闻祝喜,2,
19,0.0,北京京港地铁有限公司,,21,1,,2006-01-16,638000 万元 人民币,港铁北京四号线投资有限公司,北京首都创业集团有限公司,北京市基础设施投资有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.78%,,,,,,,,,,,32.89%,,,,,,,,,,,1.34%,,,,,,,,,,,,,,,,,8,金泽培,8,3
20,0.0,北京润乾投资基金管理有限公司,,3,1,,2014-05-26,3000.000000万人民币,北京市润坤投资管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
21,0.0,北京时代霞光文化传播有限责任公司,,0,,李诚,2001-10-16,100.000000万人民币,严玉德,吴欢,肖志德,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00%,,,,,,,,,,,35.00%,,,,,,,,,,,25.00%,,,,,,,,,,,,,,,,,0,,,
22,2.0,北京市轨道交通建设管理有限公司,,9,12,丁树奎,2002-12-25,25573.145895万人民币,北京市人民政府国有资产监督管理委员会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,张力翔,126,6
23,0.0,北京市轨道交通运营管理有限公司,,27,2,,2016-04-13,20000 万人民币,北京市轨道交通建设管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,韩志伟,,2
24,0.0,北京市国有资产经营公司,,35,12,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
25,5.0,北京市基础设施投资有限公司,6,29,36,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,9
26,3.0,北京市政建设集团有限责任公司,56,257,40,,2000-12-08,100000.000000万人民币,北京市政路桥股份有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,刘其铎,226,27
27,6.0,北京市政路桥股份有限公司,31,204,21,李军,2006-11-09,130000.000000万人民币,北京市政路桥集团有限公司,北京市国有资产经营有限责任公司,北京市基础设施投资有限公司（原北京地铁集团有限责任公司）,北京首都创业集团有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.05%,,,,,,,,,,,4.98%,,,,,,,,,,,4.98%,,,,,,,,,,,4.98%,,,,,,67,郝志兰,51,13
28,10.0,北京首创股份有限公司,7,102,139,杨斌,1999-08-31,482061.412400万人民币,北京首都创业集团,北京国际电力开发投资公司,北京市综合投资公司,北京旅游集团有限责任公司,北京国有资产经营公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.82%,,,,,,,,,,,0.04%,,,,,,,,,,,0.04%,,,,,,,,,,,0.04%,0.04%,,,,,0,刘永政,8,39
29,0.0,北京首都创业集团有限公司,5,179,60,,2001-03-12,330000.000000万人民币,北京市人民政府,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,李爱庆,,
30,0.0,北京双鹭药业股份有限公司,,12,19,徐明波,2000-08-09,68490 万人民币,新乡白鹭化纤集团有限责任公司,徐明波,泰山绿色产业有限责任公司,上海三明生物技术有限公司,成都丰阳科技贸易有限公司,卢安京,闵浩军,黄向东,王勇波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.00%,,,,,,,,,,,35.00%,,,,,,,,,,,10.00%,,,,,,,,,,,4.50%,2.50%,0.75%,0.75%,0.75%,0.75%,1,徐明波,57,
31,0.0,北京天成伟业投资担保有限公司,1,0,,张自峰,2004-08-09,1000 万人民币,张自峰,丁平平,朱大勇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.00%,,,,,,,,,,,30.00%,,,,,,,,,,,10.00%,,,,,,,,,,,,,,,,,1,,,
32,0.0,北京颐康阳光投资有限公司,,0,,,2013-03-27,10240.000000万人民币,陈柳静,马春玲,董文文,北京视淘科技有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.77%,,,,,,,,,,,9.77%,,,,,,,,,,,未公开,,,,,,,,,,,未公开,,,,,,1,,,
33,0.0,北京远大国际投资有限公司,,2,7,,2008-07-22,20000 万人民币,林金宗,郑亚香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.00%,,,,,,,,,,,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
34,10.0,北控水务集团有限公司,,35,15,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,16
35,0.0,常德市经济建设投资集团有限公司,1,91,35,曾克非,1992-11-13,100000.000000万人民币,常德市人民政府国有资产监督管理委员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,何克明,,
36,0.0,常山县水务发展投资有限公司,,9,1,,2001-12-14,5500.000000万人民币,常山县国有资产投资运营有限责任公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,14
37,0.0,常州同济泛亚污水处理有限公司,,1,,孟建平,2005-05-25,800万人民币,张家港泛亚水务投资咨询有限公司,上海捷宏环保科技有限公司,上海同济环保实业有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.25%,,,,,,,,,,,12.50%,,,,,,,,,,,6.25%,,,,,,,,,,,,,,,,,0,,,
38,0.0,潮州市利源水利水电工程有限公司,13,0,2,,1990-09-30,10028万人民币,陈涛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,10
39,0.0,慈溪开诚有机固废处理有限公司,,0,,朱豪轲,2015-03-23,2000.000000万人民币,宁波开诚生态技术有限公司,杨伟敏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.00%,,,,,,,,,,,3.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
40,0.0,磁县博苑教育投资有限公司,,0,,,2016-01-20,10000.000000万人民币,磁县国有资产管理局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,郭先峰,,
